1,4476,5652,5036,3986,4718,5051
2,4252,5094,2340,5719,1246,3550
3,886,781,1325,4783,2198,3117
4,3173,4627,2185,2013,5031,3988
5,746,4732,1241,5596,5428,4248
6,3387,3710,3530,3386,378,5076
7,1815,3990,4704,4015,2228,2852
8,1305,2056,2935,4825,578,3986
9,5596,5719,3530,781,4476,4248
10,4015,3173,5652,5036,3710,1241
11,3117,3988,5076,5051,1815,2228
12,3550,4783,4718,4627,2852,4732
13,4704,5428,5031,5094,2198,2935
14,1325,2185,1305,3386,1246,3990
15,4252,378,3387,2340,2056,886
16,4825,746,5076,2013,578,5719
17,5596,5051,3117,4015,1305,4732
18,781,4783,3530,3990,2340,5036
19,5031,3550,3710,746,2056,1325
20,578,5094,3386,3988,2852,4248
21,4825,4476,886,5652,2228,1241
22,3387,3173,2013,4704,2935,3986
23,2185,1246,1815,4627,2198,378
24,5428,4718,4476,4252,3550,578
25,4704,1325,3988,2056,3530,5036
26,5051,3173,5094,4825,3990,378
27,3986,886,1241,5076,1815,2198
28,2935,4248,4732,2340,2185,5652
29,3386,3710,4783,5719,4718,1305
30,2013,3117,1246,2228,3387,5428
31,2852,5596,4252,4627,4015,5031
32,746,3986,1305,781,378,3988
33,2935,5036,3387,4732,3550,1815
34,1241,5051,4704,3386,2185,4252
35,4248,5031,5719,1246,4015,886
36,578,3117,3530,4825,4783,3173
37,746,2198,4718,5094,2056,2228
38,2852,3990,781,3710,2013,4476
39,5428,2340,1325,5076,4627,5652
40,5596,3173,886,4704,4718,1246
41,2198,3988,2056,4476,2935,5719
42,5428,5076,4252,2185,5036,781
43,3710,378,2228,1241,4783,5031
44,5652,4825,3550,5596,3990,2013
45,3986,3386,4627,3117,5094,4248
46,1815,4015,746,3530,2340,1305
47,578,2852,1325,5051,3387,4732
48,5036,4627,3988,2198,3710,4825
49,4476,2228,3386,2340,2935,3173
50,378,4248,4718,3117,3990,5428
51,1815,578,1305,5031,1325,5596
52,3550,5051,2185,4015,3530,3986
53,4704,3387,5652,746,4783,5719
54,2852,2056,1246,781,1241,5076
55,5094,4732,3530,2013,4252,886
56,2340,3387,4718,3988,4825,2185
57,1815,2056,378,5652,3386,5596
58,3117,2935,746,5051,1246,4252
59,4732,2228,5036,5719,781,5094
60,578,5031,886,3710,3990,3986
61,1241,4015,2013,4476,4783,1325
62,4627,4248,1305,4704,3550,5076
63,2198,5428,5652,3173,2852,3530
64,3710,5596,5094,3117,2185,2228
65,5076,4783,4732,746,4476,5031
66,1325,5719,3986,2852,4718,2935
67,2340,781,1246,4704,3173,578
68,378,2013,1305,5036,4248,2198
69,5428,3550,4015,3386,886,3988
70,3990,4627,5051,3387,1241,2056
71,4825,4252,4248,1815,3710,1325
72,5076,4015,578,378,5094,5652
73,3986,3988,4783,1246,5596,4732
74,2935,3990,2228,4627,4252,3530
75,3550,2013,781,4718,5031,3386
76,4825,5036,2852,746,886,2185
77,2340,1241,4476,4704,1305,3117
78,5719,2056,5051,1815,3173,5428
79,2198,5596,781,3387,4015,3990
